Job Title,Company,Location,Skill,Role,City
Lead Generative AI Engineer,Next Mantra Solution Private Limited,"Gurugram, Haryana  ","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Gurugram
AI/ML Engineer Intern,Recruit Forge,India,r,Data Scientist,Ahmedabad
Software Engineer Intern,Pulchritude® Fashion Studio,India,r,Data Scientist,Ahmedabad
Salesforce Developer,LIXIL,"Gurugram, Haryana  ","excel, git, salesforce, r, excel",Data Scientist,Gurugram
Software Engineer Intern,Esync Technologies,India,"java, python, c++, git, problem solving",Data Scientist,Ahmedabad
Lead Test Engineer,ValGenesis,"Chennai, Tamil Nadu  ","excel, git, scrum, scrum, r, creativity, go, excel",Data Scientist,Chennai
AlgoNext Automation Developer  ,AlgoSec,"New Delhi, Delhi  ","agile, agile, go, r",Data Scientist,New Delhi
Data Science Intern,UM IT PRIVATE LIMITED,India,r,Data Scientist,Ahmedabad
Data/ML Engineer,Gleantap,India,r,Data Scientist,Ahmedabad
Principal Software Engineer,Microsoft,"Bengaluru, Karnataka  ","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Bengaluru
AI Engineer,Techvy Corp,"Bengaluru, Karnataka  ",r,Data Scientist,Bengaluru
Data Analyst Trainee,Mdtresy Medical Travel Private Limited,India,"r, analytics",Data Scientist,Mumbai
Data Science Intern | Python,SkillFied Mentor,India,"python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Mumbai
Freelance Data Scientist – Healthcare Claims & Provider Data (Remote),ThreatXIntel,India,"python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Mumbai
MLOps Specialist - Data Sciences,LTIMindtree,Greater Bengaluru Area,r,Data Scientist,Greater Bengaluru Area
QA Agile Testers,Fluor Corporation,"Vadodara, Gujarat  ","agile, agile, go, r",Data Scientist,Vadodara
Data Engineer,LIXIL,"Gurugram, Haryana  ","businessintelligence, go, r, analytics",Data Scientist,Gurugram
SAP Developer,Be a Catalyst (BaC),"Bengaluru, Karnataka  ",r,Data Scientist,Bengaluru
Artificial Intelligence /Engineering Machine Learning [ 3years Experience - Salary Range: 500USD-900USD] - Job Id: 06092025,Greeka.com,India,"python, tensorflow, pytorch, nlp, deep learning",Machine Learning Engineer,Mumbai
Software Engineer,CodenceBridge Technologies,India,r,Machine Learning Engineer,Mumbai
Jr. Software Platform Engineer,MetLife,"Pune, Maharashtra  ","erp, salesforce, etl, r, scala",Machine Learning Engineer,Pune
Senior Data Engineer,Crisil,"Mumbai, Maharashtra  ","erp, r",Machine Learning Engineer,Mumbai
Freelance DevOps Software Engineer (Python & Scala)-Remote,ThreatXIntel,India,"aws, azure, kubernetes, docker, terraform, ci/cd",Machine Learning Engineer,Mumbai
Software Test Engineer,Opportunix,"Bengaluru, Karnataka  ",r,Machine Learning Engineer,Bengaluru
Software Engineer Intern – AI-Powered Tech Startup,SkillsCapital,India,"java, python, c++, git, problem solving",Machine Learning Engineer,Mumbai
AI/ML Engineer Intern,Recruit Forge,India,r,Machine Learning Engineer,Mumbai
ITSO Consultant / Senior Software Engineer,HSBC,"Pune, Maharashtra  ","java, python, c++, git, problem solving",Machine Learning Engineer,Pune
Software Engineer Intern,Pulchritude® Fashion Studio,India,r,Machine Learning Engineer,Mumbai
Senior Data Engineer,Crisil,"Hyderabad, Telangana  ","sql, aws, azure, googlecloud, spark, go, businessintelligence, datamining, r, analytics, scala, hadoop",Machine Learning Engineer,Hyderabad
Software Engineer Intern,Esync Technologies,India,"java, python, c++, git, problem solving",Machine Learning Engineer,Mumbai
Senior AI & ML Engineer – GenAI & ML Solutions,Crisil,"Pune, Maharashtra  ","python, tensorflow, pytorch, nlp, deep learning",Machine Learning Engineer,Pune
Senior Engineer,Analog Devices,"Bengaluru, Karnataka  ","ava, python, c++, git, problem solving",Machine Learning Engineer,Bengaluru
Software Engineer,RAAH SOLUTIONS,"Hyderabad, Telangana  ",r,Machine Learning Engineer,Hyderabad
Data/ML Engineer,Gleantap,India,r,Machine Learning Engineer,Mumbai
Principal Software Engineer,Microsoft,"Bengaluru, Karnataka  ","python, tensorflow, pytorch, nlp, deep learning",Machine Learning Engineer,Bengaluru
Freelance Data Scientist – Healthcare Claims & Provider Data (Remote),ThreatXIntel,India,"python, tensorflow, pytorch, nlp, deep learning",Machine Learning Engineer,Mumbai
Senior System Software Engineer,NVIDIA,"Bengaluru, Karnataka  ","linux, linux, r, deeplearning",Machine Learning Engineer,Bengaluru
Data Engineer,LIXIL,"Gurugram, Haryana  ","businessintelligence, go, r, analytics",Machine Learning Engineer,Gurugram
Senior Rating Analyst,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Administration Assistant (On Contract),Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Need Profiles- Helpdesk Coordinator- Mumbai - (Third Party Payroll),Crisil,"Mumbai, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Mumbai
Senior Research Analyst,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Senior Analyst - Loan Review/Credit Risk Assessment,Crisil,"Mumbai, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Mumbai
Fresher,Workassist,"Kolkata, West Bengal  ","leadership, r, communication",Financial Analyst,Kolkata
Senior Research Analyst,Crisil,"Mumbai, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Mumbai
